drug,MOA,Target,Disease Area,Indication,Vendor,Purity,SMILES,InChIKey,Phase
ONC201,"AKT inhibitor, MAP kinase inhibitor",TNFSF10,,,"Selleck, Cayman, Cayman, Cayman",98.82,"Cc1ccccc1CN1C2=NCCN2C2=C(CN(Cc3ccccc3)CC2)C1=O |t:10,16|, Cc1ccccc1CN1C2=NCCN2C2=C(CN(Cc3ccccc3)CC2)C1=O |t:10,16|, Cc1ccccc1CN1C2=NCCN2C2=C(CN(Cc3ccccc3)CC2)C1=O |t:10,16|, Cc1ccccc1CN1C2=NCCN2C2=C(CN(Cc3ccccc3)CC2)C1=O |t:10,16|","VLULRUCCHYVXOH-UHFFFAOYSA-N, VLULRUCCHYVXOH-UHFFFAOYSA-N, VLULRUCCHYVXOH-UHFFFAOYSA-N, VLULRUCCHYVXOH-UHFFFAOYSA-N",Phase 2
ondansetron,serotonin receptor antagonist,"HTR3A, HTR3B",gastroenterology,"nausea, vomiting","MicroSource, Selleck",99.41,"Cc1nccn1C[C@H]1CCc2c(C1=O)c1ccccc1n2C |r|, Cc1nccn1C[C@H]1CCc2c(C1=O)c1ccccc1n2C |r|","FELGMEQIXOGIFQ-CYBMUJFWSA-N, FELGMEQIXOGIFQ-CYBMUJFWSA-N",Launched
ONO-AE3-208,prostanoid receptor antagonist,PTGER4,,,"Tocris, Tocris",96.7,"C[C@@H](C(=O)Nc1cc(ccc1CCCC(O)=O)C#N)c1ccc(F)c2ccccc12 |&1:1,r|, C[C@@H](C(=O)Nc1cc(ccc1CCCC(O)=O)C#N)c1ccc(F)c2ccccc12 |&1:1,r|","MTDIMKNAJUQTIO-OAHLLOKOSA-N, MTDIMKNAJUQTIO-OAHLLOKOSA-N",Preclinical
ONO-4059,Bruton's tyrosine kinase (BTK) inhibitor,BTK,,,"MedChemEx, MedChemEx",97.35,"CC#CC(=O)N1CC[C@H](C1)n1c2ncnc(N)c2n(-c2ccc(Oc3ccccc3)cc2)c1=O, CC#CC(=O)N1CC[C@H](C1)n1c2ncnc(N)c2n(-c2ccc(Oc3ccccc3)cc2)c1=O","SEJLPXCPMNSRAM-GOSISDBHSA-N, SEJLPXCPMNSRAM-GOSISDBHSA-N",Phase 1
ONO-4817,matrix metalloprotease inhibitor,MMP8,,,"Sigma, Sigma, Sigma",97.35,"CCOCOC[C@H](C[C@H](C)C(=O)NO)NC(=O)c1ccc(Oc2ccccc2)cc1, CCOCOC[C@H](C[C@H](C)C(=O)NO)NC(=O)c1ccc(Oc2ccccc2)cc1, CCOCOC[C@H](C[C@H](C)C(=O)NO)NC(=O)c1ccc(Oc2ccccc2)cc1","HDWWQELUBWGQGA-WMZOPIPTSA-N, HDWWQELUBWGQGA-WMZOPIPTSA-N, HDWWQELUBWGQGA-WMZOPIPTSA-N",Phase 1
ONO-8130,prostanoid receptor antagonist,PTGER1,,,"Tocris, Tocris",97.38,"CC(C)CN(c1cc2CCCc2cc1OCc1ccc(cc1)C(O)=O)S(=O)(=O)c1nc(C)cs1, CC(C)CN(c1cc2CCCc2cc1OCc1ccc(cc1)C(O)=O)S(=O)(=O)c1nc(C)cs1","IOXMDBQCUCDLAF-UHFFFAOYSA-N, IOXMDBQCUCDLAF-UHFFFAOYSA-N",Preclinical
ONX-0914,proteasome inhibitor,,,,MedChemEx,95.31,COc1ccc(C[C@H](NC(=O)[C@H](C)NC(=O)CN2CCOCC2)C(=O)N[C@@H](Cc2ccccc2)C(=O)[C@@]2(C)CO2)cc1,WQAVPPWWLLVGFK-VTNASVEKSA-N,Preclinical
ON123300,CDK inhibitor,"CDK4, NUAK1, PDGFRB",,,"MedChemEx, MedChemEx",91.24,"CN1CCN(CC1)c1ccc(Nc2ncc3cc(C#N)c(=O)n(C4CCCC4)c3n2)cc1, CN1CCN(CC1)c1ccc(Nc2ncc3cc(C#N)c(=O)n(C4CCCC4)c3n2)cc1","VADOZMZXXRBXNY-UHFFFAOYSA-N, VADOZMZXXRBXNY-UHFFFAOYSA-N",Preclinical
OP-0595,beta lactamase inhibitor,,,,AMS,77.8,NCCONC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(O)(=O)=O,RSBPYSTVZQAADE-RQJHMYQMSA-N,Preclinical
OPC-21268,vasopressin receptor antagonist,"AVPR1A, AVPR2, OXTR",,,"Tocris, Sigma, Sigma, Sigma",96.93,"CC(=O)NCCCOc1ccc(cc1)C(=O)N1CCC(CC1)N1C(=O)CCc2ccccc12, CC(=O)NCCCOc1ccc(cc1)C(=O)N1CCC(CC1)N1C(=O)CCc2ccccc12, CC(=O)NCCCOc1ccc(cc1)C(=O)N1CCC(CC1)N1C(=O)CCc2ccccc12, CC(=O)NCCCOc1ccc(cc1)C(=O)N1CCC(CC1)N1C(=O)CCc2ccccc12","KSNUCNRMDYJBKT-UHFFFAOYSA-N, KSNUCNRMDYJBKT-UHFFFAOYSA-N, KSNUCNRMDYJBKT-UHFFFAOYSA-N, KSNUCNRMDYJBKT-UHFFFAOYSA-N",Phase 1
